Month,CentralPark,WestChester
200201,39.9,35.6
200202,40.6,36.4
200203,44.1,40.4
200204,56.1,51.4
200205,60.7,56.3
200206,71.5,67.6
200207,78.8,74.8
200208,77.7,73.4
200209,70.2,65.7
200210,55.2,51.4
200211,46.0,41.3
200212,36.0,31.9
200301,27.5,24.0
200302,30.1,25.7
200303,43.1,38.7
200304,49.8,46.1
200305,58.7,55.6
200306,68.4,65.5
200307,75.8,72.5
200308,76.7,73.5
200309,67.9,64.7
200310,55.1,51.3
200311,50.0,46.3
200312,37.6,34.3
200401,24.7,21.2
200402,35.0,30.9
200403,43.5,39.6
200404,53.6,49.9
200405,65.2,61.3
200406,71.2,67.2
200407,74.5,71.3
200408,74.2,70.6
200409,69.3,65.5
200410,56.0,53.3
200411,48.2,44.6
200412,38.4,34.1
200501,31.3,26.4
200502,36.5,32.0
200503,39.5,34.4
200504,55.1,50.5
200505,58.9,54.8
200506,74.0,70.9
200507,77.5,73.8
200508,79.7,75.0
200509,73.3,68.4
200510,57.9,54.9
200511,49.6,45.5
200512,35.3,31.4
200601,40.9,36.5
200602,35.7,31.8
200603,43.1,39.4
200604,55.7,51.2
200605,63.1,59.6
200606,71.0,69.0
200607,77.9,75.3
200608,75.8,72.6
200609,66.6,63.5
200610,56.2,53.3
200611,51.9,48.8
200612,43.6,40.4
200701,37.5,34.4
200702,28.3,25.6
200703,42.2,37.8
200704,50.3,47.2
200705,65.2,61.9
200706,71.4,68.7
200707,75.0,72.6
200708,74.0,71.8
200709,70.3,66.6
200710,63.6,60.1
200711,45.4,42.0
200712,37.0,33.4
200801,36.5,32.9
200802,35.8,32.2
200803,42.6,39.0
200804,55.0,51.6
200805,60.1,57.0
200806,74.0,70.8
200807,78.4,74.8
200808,73.8,70.1
200809,68.8,66.3
200810,55.1,52.1
200811,45.9,42.7
200812,38.1,34.2
200901,27.9,24.0
200902,36.7,32.6
200903,42.4,38.5
200904,54.5,50.7
200905,62.5,59.3
200906,67.5,65.3
200907,72.7,70.6
200908,75.7,73.6
200909,66.3,63.0
200910,55.0,51.8
200911,51.1,48.5
200912,35.9,32.8
201001,32.5,29.2
201002,33.1,31.0
201003,48.2,44.8
201004,57.9,54.0
201005,65.3,62.2
201006,74.7,71.4
201007,81.3,77.0
201008,77.4,72.9
201009,71.1,67.4
201010,58.1,55.0
201011,47.9,44.3
201012,32.8,30.0
201101,29.7,25.0
201102,36.0,30.9
201103,42.3,39.0
201104,54.3,50.8
201105,64.5,61.3
201106,72.3,69.1
201107,80.2,76.6
201108,75.3,72.4
201109,70.0,67.7
201110,57.1,54.2
201111,51.9,48.7
201112,43.3,39.5
201201,37.3,34.4
201202,40.9,37.4
201203,50.9,47.8
201204,54.8,51.7
201205,65.1,62.8
201206,71.0,68.5
201207,78.8,76.4
201208,76.7,73.8
201209,68.8,65.7
201210,58.0,55.6
201211,43.9,41.0
201212,41.5,38.2
201301,35.1,31.6
201302,33.9,31.3
201303,40.1,38.2
201304,53.0,49.1
201305,62.8,59.4
201306,72.7,69.2
201307,79.8,77.0
201308,74.6,70.9
201309,67.9,63.4
201310,60.2,56.3
201311,45.3,41.6
201312,38.5,34.0
201401,28.6,24.8
201402,31.6,27.5
201403,37.7,33.2
201404,52.3,48.1
201405,64.0,60.3
201406,72.5,68.7
201407,76.1,72.8
201408,74.5,70.7
201409,69.7,66.2
201410,59.6,55.8
201411,45.3,41.5
201412,40.5,37.2
201501,29.9,26.3
201502,23.9,18.9
201503,38.1,33.2
201504,54.3,49.7
201505,68.5,63.5
201506,71.2,67.6
201507,78.8,74.5
201508,79.0,74.5
201509,74.5,69.9
201510,58.0,53.3
201511,52.8,48.5
201512,50.8,46.2
201601,34.5,31.0
201602,37.7,34.3
201603,48.9,45.0
201604,53.3,48.7
201605,62.8,59.6
201606,72.3,68.8
201607,78.7,76.3
201608,79.2,76.1
201609,71.8,68.8
201610,58.8,55.9
201611,49.8,46.6
201612,38.3,35.3
201701,38.0,35.6
201702,41.6,37.6
201703,39.2,36.2
201704,57.2,53.9
201705,61.1,56.2
201706,72.0,69.1
201707,76.8,73.8
201708,74.0,71.4
201709,70.5,67.9
201710,64.1,61.5
201711,46.6,42.5
201712,35.0,31.4
201801,31.7,27.7
201802,42.0,37.6
201803,40.1,37.2
201804,49.5,44.8
201805,66.9,63.4
201806,71.7,68.1
201807,77.6,75.0
201808,78.1,75.8
201809,70.7,68.0
201810,57.7,54.4
201811,44.4,41.4
201812,40.1,36.5
201901,32.5,29.1
201902,36.2,32.7
201903,41.7,37.2
201904,55.5,51.3
201905,62.2,58.9
201906,71.7,68.6
201907,79.6,76.8
201908,75.5,72.2
201909,70.4,66.4
201910,59.9,56.3
201911,43.9,40.5
201912,38.3,35.8
202001,39.1,35.3
202002,40.1,36.1
202003,48.0,43.9
202004,50.4,46.3
202005,60.3,57.3
202006,73.7,69.6
202007,80.0,76.9
202008,76.9,73.7
202009,68.8,65.2
202010,57.9,54.9
202011,53.0,47.9
202012,39.2,35.0
202101,34.8,30.9
202102,34.2,30.4
202103,45.8,41.3
202104,54.6,50.5
202105,62.9,58.5
202106,74.3,70.5
202107,76.0,72.9
202108,77.5,74.4
202109,70.3,66.7
202110,62.0,59.8
202111,46.2,42.6
202112,43.8,39.8
202201,30.3,26.4
202202,37.3,33.2
202203,45.3,41.2
202204,52.8,49.8
202205,64.0,62.4
202206,71.4,68.4
202207,79.5,76.8
202208,79.3,76.8
202209,69.5,66.6
202210,56.9,54.6
202211,50.9,47.7
202212,38.5,35.0
202301,43.5,40.0
202302,41.1,36.4
202303,44.6,41.3
202304,57.6,53.6
202305,62.7,58.8
202306,70.0,66.9
202307,79.0,76.2
202308,75.0,71.8
202309,69.4,67.1
202310,60.5,57.9
202311,46.7,42.7
202312,44.6,40.7
202401,37.0,33.6
202402,40.1,35.3
202403,48.1,44.4
202404,55.6,50.7
202405,65.0,62.3
202406,75.1,71.9
202407,79.6,76.6
202408,75.1,73.0
202409,68.8,65.8
202410,60.9,57.5
202411,51.4,48.2
202412,38.2,34.8
